segment,token,symbol,tradingsymbol,instrument_type,expiry,ticksize,lotsize,optiontype,strike,priceprec,multiplier,isin,pricemult,company
NSE,7929,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,1011980,10,1,EQ,0,2,1,INE010B01027,1.0,ZYDUS LIFESCIENCES LTD
NSE,11915,YESBANK,YESBANK-EQ,EQ,1011980,1,1,EQ,0,2,1,INE528G01035,1.0,YES BANK LIMITED
NSE,3787,WIPRO,WIPRO-EQ,EQ,1011980,1,1,EQ,0,2,1,INE075A01022,1.0,WIPRO LTD
NSE,25907,WAAREEENER,WAAREEENER-EQ,EQ,1011980,10,1,EQ,0,2,1,INE377N01017,1.0,WAAREE ENERGIES LIMITED
NSE,3718,VOLTAS,VOLTAS-EQ,EQ,1011980,10,1,EQ,0,2,1,INE226A01021,1.0,VOLTAS LTD
NSE,750460,VOGL,VOGL-BE,BE,1011980,1,1,BE,0,2,1,INE704J01044,1.0,VEDANTA OIL AND GAS LTD
NSE,27969,VMM,VMM-EQ,EQ,1011980,1,1,EQ,0,2,1,INE01EA01019,1.0,VISHAL MEGA MART LIMITED
NSE,750324,VISL,VISL-BE,BE,1011980,1,1,BE,0,2,1,INE1CLE01013,1.0,VEDANTA IRON AND STEEL L
NSE,750550,VEDPOWER,VEDPOWER-BE,BE,1011980,1,1,BE,0,2,1,INE694L01019,1.0,VEDANTA POWER LIMITED
NSE,3063,VEDL,VEDL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE205A01025,1.0,VEDANTA LIMITED
NSE,18921,VBL,VBL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE200M01039,1.0,VARUN BEVERAGES LIMITED
NSE,750191,VAML,VAML-BE,BE,1011980,1,1,BE,0,2,1,INE1CDF01017,1.0,VEDANTA ALUMINIUM METAL L
NSE,11287,UPL,UPL-EQ,EQ,1011980,5,1,EQ,0,2,1,INE628A01036,1.0,UPL LIMITED
NSE,10447,UNITDSPR,UNITDSPR-EQ,EQ,1011980,10,1,EQ,0,2,1,INE854D01024,1.0,UNITED SPIRITS LIMITED
NSE,10753,UNIONBANK,UNIONBANK-EQ,EQ,1011980,1,1,EQ,0,2,1,INE692A01016,1.0,UNION BANK OF INDIA
